rot_deg,B737_vs_UAS_success_rate,B737_vs_UAS_ci_low,B737_vs_UAS_ci_high,B737_vs_UAS_successful,B737_vs_UAS_collision,B737_vs_UAS_timeout,B737_vs_UAS_total,Cessna_vs_UAS_success_rate,Cessna_vs_UAS_ci_low,Cessna_vs_UAS_ci_high,Cessna_vs_UAS_successful,Cessna_vs_UAS_collision,Cessna_vs_UAS_timeout,Cessna_vs_UAS_total,UAV_vs_UAS_success_rate,UAV_vs_UAS_ci_low,UAV_vs_UAS_ci_high,UAV_vs_UAS_successful,UAV_vs_UAS_collision,UAV_vs_UAS_timeout,UAV_vs_UAS_total
1.0,0.8750,0.8531,0.8941,875,125,0,1000,0.9290,0.9114,0.9433,929,71,0,1000,1.0000,0.9962,1.0000,1000,0,0,1000
1.5,0.8700,0.8477,0.8894,870,130,0,1000,0.9060,0.8863,0.9226,906,94,0,1000,1.0000,0.9962,1.0000,1000,0,0,1000
2.0,0.8780,0.8563,0.8969,878,122,0,1000,0.9220,0.9037,0.9371,922,78,0,1000,1.0000,0.9962,1.0000,1000,0,0,1000
2.5,0.8820,0.8605,0.9005,882,118,0,1000,0.9310,0.9136,0.9451,931,69,0,1000,1.0000,0.9962,1.0000,1000,0,0,1000
3.0,0.8520,0.8286,0.8727,852,148,0,1000,0.9120,0.8928,0.9280,912,82,6,1000,1.0000,0.9962,1.0000,1000,0,0,1000
3.5,0.8370,0.8128,0.8586,837,163,0,1000,0.8490,0.8255,0.8699,849,83,68,1000,0.9990,0.9944,0.9998,999,0,1,1000
4.0,0.7840,0.7574,0.8084,784,157,59,1000,0.7440,0.7161,0.7701,744,89,167,1000,0.9990,0.9944,0.9998,999,0,1,1000
4.5,0.5810,0.5502,0.6112,581,245,174,1000,0.5450,0.5140,0.5756,545,102,353,1000,1.0000,0.9962,1.0000,1000,0,0,1000
5.0,0.4380,0.4075,0.4689,438,326,236,1000,0.4550,0.4244,0.4860,455,148,397,1000,1.0000,0.9962,1.0000,1000,0,0,1000
5.5,0.2270,0.2021,0.2540,227,352,421,1000,0.3820,0.3524,0.4125,382,191,427,1000,0.9260,0.9081,0.9406,926,74,0,1000
6.0,0.0250,0.0170,0.0366,25,231,744,1000,0.3260,0.2977,0.3557,326,244,430,1000,1.0000,0.9962,1.0000,1000,0,0,1000
